name,lng,lat
Abertillery Library,-3.13679,51.73055
Blaina Library,-3.15936,51.76361
Brynmawr Library,-3.17328,51.79764
Cwm Library,-3.1834,51.74089
Ebbw Vale Library,-3.20758,51.77841
Tredegar Library,-3.24506,51.77082
Aberkenfig Library,-3.59716,51.54113
Betws Library,-3.58722,51.56616
Bridgend Library,-3.57792,51.50603
Maesteg Library,-3.65654,51.60747
Ogmore Vale Library,-3.54087,51.60365
Pencoed Library,-3.49782,51.52416
Pontycymer Library,-3.58141,51.6067
Porthcawl Library,-3.7037,51.47819
Pyle Library,-3.6897,51.52785
Sarn Library,-3.58199,51.54015
Y Llynfi Library,-3.664245,51.61081
Aberbargoed Library ,-3.22268,51.69372
Abercarn Library,-3.1346606,51.6468312
Abertridwr Library,-3.26908,51.59341
Bargoed Library,-3.2285155,51.6899279
Bedwas Library,-3.19102,51.58973
Blackwood Library,-3.19293,51.66255
Caerphilly Library,-3.2178589,51.5741805
Deri Library,-3.26504,51.70766
Llanbradach Library,-3.23037,51.60371
Machen Library,-3.14348,51.5938
Nelson Library and Learning Centre ,-3.28192,51.65084
New Tredegar Library,-3.2350384,51.7169602
Newbridge Library,-3.1473218,51.6640081
Oakdale Library,-3.1786006,51.6786604
Pengam Library,-3.2231977,51.664932
Rhymney Library,-3.28385,51.75872
Risca Library,-3.1002068,51.6063461
Ystrad Mynach Library,-3.23573,51.64143
Canton Library,-3.2026,51.4817
Cardiff Central Library Hub,-3.17636,51.47705
Cathays and Heritage Library,-3.18138,51.4963
Fairwater Library Hub,-3.23596,51.49034
Grangetown Library,-3.18639,51.46747
Llandaff North and Gabalfa Hub,-3.22187,51.50218
Llanedeyrn Library and Hub,-3.152238,51.514052
Llanishen Library,-3.187307,51.529551
Llanrumney Library,-3.11859,51.5212
Penylan Library,-3.16407,51.49558
Radyr Library,-3.25689,51.518
Rhiwbina Library,-3.21227,51.52027
Rhydypennau Library,-3.17617,51.51794
Roath Library,-3.16091,51.48482
Rumney Library and partnership Hub,-3.12026,51.508642
STAR Library and Hub,-3.152302,51.483969
Tongwynlais Library,-3.25145,51.52975
St Mellons Library and Hub,-3.10136,51.52406
Whitchurch Library,-3.22509,51.51474
Welsh Government Information (Library) & Archive Service,-3.161261,51.464688
Ammanford Library,-3.98957,51.79116
Brynaman Library,-3.864274,51.812761
Burry Port Library,-4.25253,51.68388
Carmarthen Library,-4.30186,51.8574
Cross Hands Library,-4.08542,51.79399
Kidwelly Library,-4.313448,51.738685
Llandeilo Library,-3.99071,51.88287
Llandovery Library,-3.796194,51.994234
Llanelli Library,-4.16129,51.682
Llangennech Library,-4.086789,51.695038
Llwynhendy Library,-4.121059,51.681943
Newcastle Emlyn Library,-4.46719,52.03842
Pembrey Library,-4.275364,51.686584
Pontyates library,-4.217401,51.752813
St Clears Library,-4.495397,51.820382
Whitland Library,-4.61479,51.81848
Aberaeron Library,-4.25873,52.24226
Aberystwyth Library,-4.081607,52.417264
Cardigan Library,-4.66093,52.08367
Lampeter Library,-4.07834,52.11248
Llandysul Library,-4.30694,52.04167
Llyfrgell Genedlaethol Cymru National Library of Wales,-4.06749,52.41393
New Quay Library,-4.3596,52.2106
Abergele Library,-3.58564,53.28364
Cerrigydrudion Library,-3.561419,53.025601
Colwyn Bay Library,-3.72855,53.29335
Conwy Library,-3.82706,53.28107
Kinmel Bay Library,-3.51458,53.31064
Llandudno Library,-3.82884,53.32242
Llanfairfechan Library,-3.97424,53.25177
Llanrwst Library,-3.80012,53.13944
Penmaenmawr Library,-3.92245,53.267
Penrhyn Bay Library,-3.76994,53.31432
Corwen Library and One Stop Shop,-3.36888,52.97885
Denbigh Library and One Stop Shop,-3.41729,53.18327
Llangollen Library amd One Stop Shop,-3.16902,52.96929
Prestatyn Library+ and One Stop Shop,-3.404827,53.334203
Rhuddlan Library and One Stop Shop,-3.46442,53.29239
Ruthin Library,-3.30888,53.11259
Rhyl Library and One Stop Shop,-3.48792,53.32087
St Asaph Library and One Stop Shop,-3.44973,53.2575
Broughton Library,-2.98584,53.16515
Buckley Library,-3.07864,53.16704
Connah's Quay Library,-3.04685,53.21317
