postcode,easting,northing
CF101AA,318284,176230
CF101AB,318301,176185
CF101AD,318325,176112
CF101AE,318359,176152
CF101AF,318338,176192
CF101AG,318302,176259
CF101AH,318375,176255
CF101AJ,318435,176146
CF101AL,318307,176232
CF101AP,318513,175946
CF101AQ,318422,176274
CF101AR,318015,176382
CF101AS,318208,176471
CF101AT,318205,176332
CF101AU,318249,176349
CF101AW,318159,176430
CF101AX,318171,176384
CF101AY,318184,176468
CF101AZ,318202,176451
CF101BA,318204,176468
CF101BB,318198,176422
CF101BD,318227,176452
CF101BE,318172,176408
CF101BF,318422,176274
CF101BG,318211,176394
CF101BH,318252,176376
CF101BJ,317836,176466
CF101BL,318445,176222
CF101BN,318456,176195
CF101BP,317180,174761
CF101BQ,318462,176179
CF101BR,318063,176377
CF101BS,318065,176443
CF101BT,318013,176438
CF101BU,318107,176392
CF101BW,318080,176416
CF101BX,318082,176445
CF101BY,318097,176391
CF101BZ,318473,176166
CF101DA,318098,176244
CF101DB,318005,176332
CF101DD,318055,176336
CF101DE,318031,176305
CF101DF,318016,176320
CF101DG,317993,176330
CF101DH,317979,176347
CF101DJ,317962,176361
CF101DL,317943,176377
CF101DN,317924,176392
CF101DW,318275,176108
CF101DX,318241,176197
CF101DY,318179,176314
CF101DZ,318130,176331
CF101EA,318106,176344
CF101EB,318192,176254
CF101EF,318503,176148
CF101EG,318571,176092
CF101EH,318209,176191
CF101EJ,317180,174761
CF101EN,318243,176028
CF101EP,318243,175959
CF101ER,318172,176037
CF101ES,318102,176013
CF101ET,318158,176127
CF101EU,318184,176234
CF101EW,318224,176092
CF101EZ,318471,175994
CF101FA,318327,176012
CF101FD,318348,176086
CF101FE,318382,176030
CF101FF,318398,176089
CF101FG,318382,176117
CF101FH,318395,176072
CF101FJ,318404,176065
CF101FL,318420,176043
CF101FN,318379,176103
CF101FP,318385,176151
CF101FQ,318404,176121
CF101FR,318383,176225
CF101FS,318073,175915
CF101GA,318471,176179
CF101GB,318284,176230
CF101GD,318374,175900
CF101GH,318532,175997
CF101GJ,318273,176467
CF101GL,318234,176443
CF101GN,318300,176453
CF101GP,318386,176354
CF101GR,318226,176089
CF101GS,318327,176285
CF101JA,317997,176282
CF101JE,318221,176175
CF101JL,317180,174761
CF101LA,318007,175993
CF101LG,317180,174761
CF101NL,318260,176032
CF101NS,317966,176144
CF101NT,318108,176130
CF101PL,318273,176240
CF101PN,318244,175971
CF101PT,318135,176378
CF101PU,318111,176426
CF101PX,318138,176452
CF101QA,317180,174761
CF101QR,318207,176427
CF101RH,318334,175897
CF101SG,317180,174761
CF101SH,317180,174761
CF101SZ,317951,176427
CF101TD,318368,176277
CF101TL,318247,176147
CF101TT,318272,176310
CF101UA,317180,174761
CF101UL,318094,176349
CF101UP,317180,174761
CF101WB,318344,176292
CF101XB,317180,174761
CF101XD,317855,176411
CF101XJ,317180,174761
CF101XR,318075,176040
CF101XZ,318075,176040
CF101YA,317180,174761
CF101YG,317180,174761
CF101YX,317180,174761
CF101ZR,317180,174761
CF102AA,318647,176265
CF102AF,318233,176522
CF102AG,318359,176554
CF102AQ,318299,176544
CF102AR,318367,176593
CF102AS,318412,176560
CF102AT,318438,176589
CF102BE,318497,176595
CF102BG,318579,176624
CF102BH,318631,176647
CF102BJ,318692,176682
CF102BU,318267,176498
CF102BW,318363,176516
CF102BX,318396,176520
CF102BY,318355,176517
CF102DB,318434,176509
CF102DP,318415,176428
CF102DQ,318390,176432
CF102DS,318499,176509
CF102DW,318606,176563
CF102DX,318641,176505
CF102DY,318666,176468
CF102DZ,318684,176434
CF102EE,318704,176308
CF102EF,318568,176261
CF102EH,318649,176264
CF102EJ,318469,176217
CF102EL,318512,176236
CF102EN,318616,176214
CF102EP,318723,176203
CF102EQ,318723,176202
CF102ER,318504,176216
CF102EW,318445,176343
CF102EY,319273,176340
CF102EZ,319259,176284
CF102FE,318708,176067
CF102FF,318667,176032
CF102FG,318667,176032
CF102FH,318667,176032
CF102FJ,318667,176032
CF102FL,318589,175984
CF102FP,318620,176000
CF102FQ,318620,176000
CF102FR,318583,176343
CF102FY,318803,176533
CF102GA,318616,176434
CF102GB,318627,176419
CF102GD,318651,176372
CF102GE,318590,176405
CF102GF,318612,176374
CF102GG,318622,176355
CF102GL,318784,176639
CF102GP,318787,176629
CF102GQ,318467,176536
CF102GR,318582,176563
CF102GS,318628,176324
CF102HA,318797,176287
CF102HD,318678,176549
CF102HE,318760,176439
CF102HH,318684,176534
CF102HJ,318786,176336
CF102HL,318773,176382
CF102HQ,318662,176591
CF102HR,318741,176502
CF102HS,318741,176502
CF102HT,318741,176502
CF102HU,318741,176502
CF102JH,318653,176136
CF102LE,318445,176296
CF102NX,318521,176613
CF102PB,318341,176578
CF102PX,318457,176535
CF102QU,317180,174761
CF102RG,318384,176514
CF102SF,318589,176418
CF102SS,318703,176404
CF102TH,318704,176308
CF102TT,318684,176532
CF102TW,318684,176532
CF102UD,318258,176534
CF102UF,318509,176400
CF102WB,317180,174761
CF102WG,317180,174761
CF102WP,317180,174761
CF102WQ,317180,174761
CF102WT,318723,176203
CF102XF,317180,174761
CF102XG,318518,176548
CF102XU,317180,174761
CF102XZ,317180,174761
CF102YA,317180,174761
CF102YG,317180,174761
CF102YH,317180,174761
CF102YN,317180,174761
CF103AD,318431,176680
CF103AE,318393,176665
CF103AF,318345,176727
CF103AG,318330,176659
CF103AL,318392,176727
CF103AN,318311,176727
CF103AP,317932,177147
CF103AQ,318311,176727
CF103AR,318658,176713
CF103AS,318084,177390
CF103AT,318189,177334
CF103AW,318658,176713
CF103AX,318136,177261
CF103AY,318658,176713
CF103AZ,318330,176659
CF103BA,318447,176945
CF103BB,318375,177130
CF103BD,318453,177088
CF103BE,318511,176923
CF103BF,318658,176713
CF103BG,318469,177044
CF103BH,318494,177054
CF103BJ,318507,177001
CF103BN,318546,177005
CF103BQ,318658,176713
CF103BR,318701,176862
CF103BS,318431,177004
CF103BT,317180,174761
CF103BU,318594,176697
CF103BW,318665,176675
CF103BX,318631,176676
CF103BY,318579,176770
CF103BZ,318634,176788
CF103DA,318546,176842
CF103DB,318523,176898
CF103DD,318608,176916
CF103DF,318621,176861
CF103DG,318535,176858
CF103DJ,318647,176916
CF103DN,318511,176646
CF103DP,318521,176734
CF103DQ,318483,176858
CF103DS,318311,176727
CF103DU,317784,177321
CF103DW,317428,177874
CF103DX,317521,177787
CF103DY,317743,177374
CF103DZ,317507,177888
CF103EA,317534,177612
CF103EB,317826,177289
CF103ED,317798,177460
CF103EE,317888,177460
CF103EF,317772,177553
CF103EG,317978,177437
CF103EH,317857,177537
CF103EJ,317699,177661
CF103EL,317614,177739
CF103EN,317877,177423
CF103EP,317662,177753
CF103EQ,317533,177900
CF103ER,317895,176964
CF103ET,318080,176764
CF103EU,317862,177605
CF103EW,318043,176795
CF103EX,317452,177959
CF103EY,317607,177853
CF103EZ,317576,177795
CF103FA,318316,176607
CF103FD,318237,176600
CF103FG,318232,176550
CF103FN,318763,176725
CF103GA,318677,176810
CF103HA,317470,177867
CF103HH,318261,176660
CF103LN,318470,176728
CF103NB,317980,177056
CF103ND,318255,176903
CF103NL,318142,176838
CF103NN,318096,176904
CF103NP,318356,176955
CF103NQ,317989,177266
CF103NS,318091,176949
CF103PG,318142,176838
CF103PL,318330,176659
CF103PW,318311,176727
CF103QN,318344,177264
CF103RB,318083,176595
CF103RJ,318701,176862
CF103RL,318405,177053
CF103RS,318535,176700
CF103SE,318489,176975
CF103SG,318628,176803
CF103SX,318622,176699
CF103TA,317180,174761
CF103TB,317180,174761
CF103TL,317180,174761
CF103TS,317180,174761
CF103TT,317180,174761
CF103TU,317180,174761
CF103TY,317180,174761
CF103UA,317180,174761
CF103UB,318406,177090
CF103UD,318557,176636
CF103UL,317180,174761
CF103UN,317643,177628
CF103UP,317893,177354
CF103UW,317180,174761
CF103UY,317180,174761
CF103WA,318044,176982
CF103WD,317180,174761
CF103WE,317180,174761
CF103WF,317180,174761
CF103WG,318330,176659
CF103WJ,317180,174761
CF103WL,318327,176659
CF103WN,317180,174761
CF103WP,317180,174761
CF103WT,318044,176982
CF103WU,318330,176659
CF103WX,317180,174761
CF103XA,317180,174761
CF103XD,317180,174761
CF103XE,317180,174761
CF103XH,317180,174761
CF103XL,317180,174761
CF103XN,317180,174761
CF103XP,317180,174761
CF103XQ,317180,174761
CF103XR,317180,174761
CF103XS,317180,174761
CF103XU,317180,174761
CF103XW,317180,174761
CF103XZ,317180,174761
CF103YA,317180,174761
CF103YD,317180,174761
CF103YE,317180,174761
CF103YF,317180,174761
CF103YJ,317180,174761
CF103YN,317180,174761
CF103YQ,317180,174761
CF103YY,317180,174761
CF103YZ,317180,174761
CF103ZF,318665,176886
CF103ZG,317180,174761
CF103ZH,317180,174761
CF103ZP,317180,174761
CF103ZR,317180,174761
CF103ZS,317180,174761
CF103ZT,317180,174761
CF103ZW,317180,174761
CF103ZX,317180,174761
CF104AB,319024,175475
CF104AE,318866,175521
CF104AF,318887,175479
CF104AG,318902,175754
CF104AH,319079,175895
CF104AJ,319107,175909
CF104AL,319116,175913
CF104AN,318866,175780
CF104AP,319015,175977
CF104AQ,318840,175587
CF104AR,318769,175734
CF104AS,318790,175686
CF104AT,318804,175655
CF104AU,319564,175019
CF104AW,318958,175765
CF104AX,319507,174514
CF104AZ,318974,175969
CF104BA,319231,176141
CF104BB,319283,175985
CF104BD,318923,175700
CF104BE,319061,175994
CF104BH,319087,175593
CF104BJ,319021,175647
CF104BL,318958,175611
CF104BN,318943,175524
CF104BP,319007,176013
CF104BR,318944,175358
CF104BS,319052,175559
CF104BT,318994,175594
CF104BU,319057,175702
CF104BW,319014,175725
CF104BX,319046,175803
CF104BY,318829,175871
CF104BZ,318863,176006
CF104DA,319081,175042
CF104DB,319111,174985
CF104DD,319114,174969
CF104DE,319054,175099
CF104DF,320832,175067
CF104DH,319026,175162
CF104DJ,319268,174847
CF104DL,318998,175221
CF104DN,318916,175416
CF104DP,318977,175279
CF104DQ,319642,174851
CF104DR,318953,175339
CF104DU,319083,175840
CF104DW,319072,175872
CF104DX,319110,175779
CF104DY,319099,175802
CF104DZ,319072,175872
CF104EA,319171,175463
CF104EB,319269,175405
CF104ED,320270,175136
CF104EE,319237,175479
CF104EG,319261,175347
CF104EJ,319212,175324
CF104EL,319184,175373
CF104EP,319043,175942
CF104EQ,319123,175669
CF104EU,319199,175553
CF104EW,320581,175134
CF104FB,318821,176103
CF104FD,318821,176103
CF104FG,318988,176222
CF104GA,319607,174255
CF104HB,319114,175946
CF104HD,319100,175969
CF104HF,319145,175927
CF104HG,319182,175942
CF104JA,319442,175089
CF104JB,319481,175093
CF104JD,319509,175134
CF104JE,319425,175027
CF104JF,319509,175134
CF104JY,319292,174885
CF104LA,320056,174545
CF104LB,319841,174167
CF104LG,318908,175798
CF104LJ,320943,175343
CF104LL,320186,174446
CF104LN,318929,175812
CF104LQ,320881,175217
CF104LT,320124,174308
CF104LU,320346,174362
CF104LW,320124,174308
CF104LX,320447,174919
CF104LY,320310,174267
CF104LZ,321028,174992
CF104NF,319128,175274
CF104NG,319107,175353
CF104NH,319183,175255
CF104NJ,319105,175223
CF104NL,319091,175477
CF104NN,319056,175378
CF104NP,319683,174653
CF104NQ,319684,174596
CF104NR,319775,174628
CF104NS,319688,174759
CF104PA,319454,174288
CF104PB,319463,174648
CF104PD,319568,174760
CF104PE,319568,174760
CF104PH,319291,174623
CF104PJ,319522,174565
CF104PL,319507,174514
CF104PZ,319275,174487
CF104QH,319177,174731
CF104QL,318757,175813
CF104QP,319513,174696
CF104QQ,319615,174837
CF104RA,319627,174781
CF104RB,319621,174754
CF104RD,319622,174706
CF104RE,319622,174657
CF104RF,319621,174612
CF104RG,319590,174566
CF104RH,319570,174605
CF104RP,320255,174309
CF104RT,319000,175921
CF104RU,319563,174658
CF104SF,319320,176190
CF104SP,320933,175058
CF104TR,320704,174926
CF104TS,320785,174809
CF104TT,319065,176058
CF104UP,318822,175868
CF104US,320673,174904
CF104UU,320673,174904
CF104UW,319284,175190
CF104WL,317180,174761
CF104WN,317180,174761
CF104WQ,317180,174761
CF104WR,317180,174761
CF104WS,317180,174761
CF104WZ,319405,174405
CF104XR,317180,174761
CF104XZ,320745,175178
CF104ZA,319284,175190
CF104ZN,317180,174761
CF105AB,319089,174582
CF105AD,319072,174659
CF105AE,319069,174768
CF105AF,319104,174787
CF105AG,319113,174746
CF105AH,319123,174731
CF105AJ,319118,174668
CF105AL,319291,174623
CF105AN,319152,174553
CF105AP,318986,174948
CF105AQ,319072,174659
CF105AR,319089,174588
CF105AU,318708,174712
CF105AX,318634,174665
CF105AY,319145,174526
CF105AZ,318576,175893
CF105BB,319031,174681
CF105BD,318876,174295
CF105BE,318832,174262
CF105BF,318446,175549
CF105BG,318669,174148
CF105BH,318347,175579
CF105BJ,318746,174268
CF105BL,318827,174310
CF105BN,319125,174598
CF105BP,319128,174659
CF105BQ,318855,174341
CF105BR,318841,174558
CF105BS,318942,174498
CF105BT,318425,175799
CF105BU,319059,174385
CF105BW,319027,174411
CF105BX,319140,174591
CF105BY,318996,174560
CF105BZ,319141,174473
CF105DB,318393,175828
CF105DE,318366,175664
CF105DF,318353,175198
CF105DJ,318248,175575
CF105DL,318145,175452
